Company,TypeName,Cpu,Ram,Gpu,OpSys,Weight,Price,Touchscreen,IPS,ppi,SSD,HDD
Apple,Ultrabook,Intel Core i5 2.3GHz,8.0,Intel Iris Plus Graphics 640,macOS,1.37,71378.6832,0,1,226.98300468106115,128,0
Apple,Ultrabook,Intel Core i5 1.8GHz,8.0,Intel HD Graphics 6000,macOS,1.34,47895.5232,0,0,127.67794013309688,0,0
HP,Notebook,Intel Core i5 7200U 2.5GHz,8.0,Intel HD Graphics 620,No OS,1.86,30636.0,0,0,141.21199808219862,256,0
Apple,Ultrabook,Intel Core i7 2.7GHz,16.0,AMD Radeon Pro 455,macOS,1.83,135195.336,0,1,220.53462386625827,512,0
Apple,Ultrabook,Intel Core i5 3.1GHz,8.0,Intel Iris Plus Graphics 650,macOS,1.37,96095.808,0,1,226.98300468106115,256,0
Acer,Notebook,AMD A9-Series 9420 3GHz,4.0,AMD Radeon R5,Windows 10,2.1,21312.0,0,0,100.45466986113651,0,500
Apple,Ultrabook,Intel Core i7 2.2GHz,16.0,Intel Iris Pro Graphics,Mac OS X,2.04,114017.6016,0,1,220.53462386625827,0,0
Apple,Ultrabook,Intel Core i5 1.8GHz,8.0,Intel HD Graphics 6000,macOS,1.34,61735.536,0,0,127.67794013309688,0,0
Asus,Ultrabook,Intel Core i7 8550U 1.8GHz,16.0,Nvidia GeForce MX150,Windows 10,1.3,79653.6,0,0,141.21199808219862,512,0
Acer,Ultrabook,Intel Core i5 8250U 1.6GHz,8.0,Intel UHD Graphics 620,Windows 10,1.6,41025.6,0,1,157.3505121487356,256,0
HP,Notebook,Intel Core i5 7200U 2.5GHz,4.0,Intel HD Graphics 620,No OS,1.86,20986.992,0,0,100.45466986113651,0,500
HP,Notebook,Intel Core i3 6006U 2GHz,4.0,Intel HD Graphics 520,No OS,1.86,18381.0672,0,0,141.21199808219862,0,500
Apple,Ultrabook,Intel Core i7 2.8GHz,16.0,AMD Radeon Pro 555,macOS,1.83,130001.6016,0,1,220.53462386625827,256,0
Dell,Notebook,Intel Core i3 6006U 2GHz,4.0,AMD Radeon R5 M430,Windows 10,2.2,26581.392,0,0,141.21199808219862,256,0
Apple,Ultrabook,Intel Core M m3 1.2GHz,8.0,Intel HD Graphics 615,macOS,0.92,67260.672,0,1,226.41554716935852,256,0
Apple,Ultrabook,Intel Core i5 2.3GHz,8.0,Intel Iris Plus Graphics 640,macOS,1.37,80908.344,0,1,226.98300468106115,256,0
Dell,Notebook,Intel Core i7 7500U 2.7GHz,8.0,AMD Radeon R5 M430,Windows 10,2.2,39693.6,0,0,141.21199808219862,256,0
Apple,Ultrabook,Intel Core i7 2.9GHz,16.0,AMD Radeon Pro 560,macOS,1.83,152274.24,0,1,220.53462386625827,512,0
Lenovo,Notebook,Intel Core i3 7100U 2.4GHz,8.0,Nvidia GeForce 940MX,No OS,2.2,26586.72,0,0,141.21199808219862,0,1000
Dell,Ultrabook,Intel Core i5 8250U 1.6GHz,8.0,Intel UHD Graphics 620,Windows 10,1.22,52161.12,1,1,165.6321180513006,128,0
Lenovo,Gaming,Intel Core i5 7300HQ 2.5GHz,8.0,Nvidia GeForce GTX 1050,Windows 10,2.5,53226.72,0,1,157.3505121487356,128,1000
HP,Notebook,AMD E-Series E2-9000e 1.5GHz,4.0,AMD Radeon R2,No OS,1.86,13746.24,0,0,100.45466986113651,0,500
Dell,2 in 1 Convertible,Intel Core i5 8250U 1.6GHz,8.0,Intel UHD Graphics 620,Windows 10,1.62,43636.32,1,0,165.6321180513006,256,0
HP,Ultrabook,Intel Core i7 8550U 1.8GHz,8.0,Intel HD Graphics 620,Windows 10,1.91,35111.52,0,0,141.21199808219862,256,0
Dell,Notebook,Intel Core i3 6006U 2GHz,4.0,Intel HD Graphics 520,Windows 10,2.3,22305.1392,0,0,100.45466986113651,0,1000
Apple,Ultrabook,Intel Core i5 1.6GHz,8.0,Intel HD Graphics 6000,Mac OS X,1.35,58554.72,0,0,127.67794013309688,0,0
Dell,Notebook,Intel Core i5 8250U 1.6GHz,8.0,AMD Radeon 530,Windows 10,2.2,42624.0,0,0,141.21199808219862,256,0
Dell,Ultrabook,Intel Core i7 8650U 1.9GHz,8.0,Intel UHD Graphics 620,Windows 10,1.88,69157.44,0,0,141.21199808219862,512,0
HP,Notebook,Intel Core i5 8250U 1.6GHz,8.0,Nvidia GeForce 930MX,Windows 10,2.5,47738.88,0,0,141.21199808219862,0,1000
Chuwi,Notebook,Intel Atom x5-Z8300 1.44GHz,4.0,Intel HD Graphics,Windows 10,1.89,13053.0672,0,0,141.21199808219862,0,0
Asus,Notebook,AMD E-Series E2-6110 1.5GHz,2.0,AMD Radeon R2,Windows 10,1.65,10602.72,0,0,100.45466986113651,0,0
HP,Notebook,AMD A6-Series 9220 2.5GHz,4.0,AMD Radeon 530,Windows 10,2.71,23389.92,0,0,141.21199808219862,0,500
Dell,Ultrabook,Intel Core i7 8550U 1.8GHz,16.0,Intel UHD Graphics 620,Windows 10,1.2,99580.32,1,0,276.053530085501,512,0
Apple,Ultrabook,Intel Core i5 1.6GHz,8.0,Intel HD Graphics 6000,Mac OS X,1.35,53173.44,0,0,127.67794013309688,0,0
Lenovo,Notebook,Intel Celeron Dual Core N3350 1.1GHz,4.0,Intel HD Graphics 500,Windows 10,1.44,13266.72,0,0,100.45466986113651,0,0
Acer,Notebook,Intel Core i3 7130U 2.7GHz,4.0,Intel HD Graphics 620,Linux,2.1,19553.76,0,0,100.45466986113651,0,1000
Dell,Notebook,Intel Core i5 8250U 1.6GHz,8.0,AMD Radeon 530,Windows 10,2.8,52161.12,0,1,157.3505121487356,128,1000
HP,Notebook,Intel Core i5 7200U 2.5GHz,4.0,Intel HD Graphics 620,Windows 10,1.86,26037.4032,0,0,100.45466986113651,0,1000
HP,Notebook,Intel Core i5 8250U 1.6GHz,8.0,Nvidia GeForce 930MX ,Windows 10,2.1,46833.12,0,0,141.21199808219862,256,0
Asus,Notebook,Intel Core i3 6006U 2GHz,4.0,Intel HD Graphics 620,Linux,2.0,20725.92,0,0,141.21199808219862,0,1000
Dell,Gaming,Intel Core i7 7700HQ 2.8GHz,16.0,Nvidia GeForce GTX 1060,Windows 10,2.65,79866.72,0,1,157.3505121487356,256,1000
Asus,Notebook,Intel Core i5 7200U 2.5GHz,8.0,Nvidia GeForce 940MX,Linux,2.3,27864.9072,0,0,100.45466986113651,0,1000
Acer,Notebook,Intel Core i5 8250U 1.6GHz,4.0,Intel UHD Graphics 620,Windows 10,2.2,36336.96,0,1,157.3505121487356,256,0
Dell,2 in 1 Convertible,Intel Core i5 8250U 1.6GHz,12.0,Nvidia GeForce 150MX,Windows 10,2.77,53226.72,1,0,165.6321180513006,0,1000
Apple,Ultrabook,Intel Core i5 2.0GHz,8.0,Intel Iris Graphics 540,macOS,1.37,75604.32,0,1,226.98300468106115,256,0
Asus,Gaming,AMD Ryzen 1700 3GHz,8.0,AMD Radeon RX 580,Windows 10,3.2,69210.72,0,0,141.21199808219862,256,1000
Dell,Notebook,Intel Core i5 7200U 2.5GHz,4.0,AMD Radeon R5 M430,Windows 10,2.3,34045.92,0,0,141.21199808219862,256,0
Asus,Notebook,Intel Pentium Quad Core N4200 1.1GHz,4.0,Nvidia GeForce 920MX,Windows 10,2.8,24828.48,0,0,100.45466986113651,0,1000
Acer,Notebook,Intel Core i7 8550U 1.8GHz,8.0,Nvidia GeForce MX150,Windows 10,2.2,44808.48,0,1,157.3505121487356,256,0
HP,Notebook,AMD A6-Series 9220 2.5GHz,4.0,AMD Radeon R4 Graphics,Windows 10,1.86,21231.5472,0,0,141.21199808219862,256,0
HP,Notebook,Intel Core i7 8550U 1.8GHz,8.0,Intel UHD Graphics 620,Windows 10,1.49,58767.84,0,0,141.21199808219862,512,0
Acer,Notebook,Intel Core i3 7100U 2.4GHz,4.0,Intel HD Graphics 620,Windows 10,2.4,20459.52,0,0,100.45466986113651,0,1000
Dell,Notebook,Intel Core i7 8550U 1.8GHz,8.0,AMD Radeon 520,Windows 10,2.13,40908.384,0,0,141.21199808219862,256,0
HP,Notebook,Intel Core i3 6006U 2GHz,4.0,Intel HD Graphics 520,Windows 10,1.91,23389.92,0,0,141.21199808219862,128,0
Asus,Notebook,Intel Core i5 7200U 2.5GHz,4.0,Intel HD Graphics 620,Windows 10,2.0,31232.2032,0,0,100.45466986113651,256,0
MSI,Gaming,Intel Core i7 7700HQ 2.8GHz,16.0,Nvidia GeForce GTX 1070,Windows 10,2.43,130482.72,0,0,141.21199808219862,256,2000
Asus,Notebook,Intel Core i3 6006U 2GHz,4.0,Intel HD Graphics 520,Linux,2.0,22111.2,0,0,141.21199808219862,256,0
Dell,Notebook,Intel Core i7 8550U 1.8GHz,16.0,AMD Radeon 530,Windows 10,2.8,69210.72,0,0,141.21199808219862,256,2000
Dell,Ultrabook,Intel Core i5 8250U 1.6GHz,8.0,Intel UHD Graphics 620,Windows 10,1.7,46833.12,0,0,141.21199808219862,256,0
Lenovo,Notebook,Intel Core i3 7130U 2.7GHz,8.0,Intel HD Graphics 620,No OS,1.7,31914.72,0,1,157.3505121487356,256,0
Asus,Notebook,Intel Core i5 8250U 1.6GHz,8.0,Intel UHD Graphics 620,Windows 10,1.4,50136.48,0,0,141.21199808219862,256,0
HP,Notebook,Intel Core i5 7200U 2.5GHz,8.0,Intel HD Graphics 620,Windows 10,1.86,36763.2,0,0,141.21199808219862,256,0
Asus,Ultrabook,Intel Core i7 7700HQ 2.8GHz,16.0,Nvidia GeForce GTX 1050 Ti,Windows 10,1.8,105654.24,0,0,141.21199808219862,512,0
HP,Notebook,Intel Core i3 6006U 2GHz,4.0,AMD Radeon 520,Windows 10,1.86,23373.4032,0,0,100.45466986113651,0,500
HP,Notebook,Intel Celeron Dual Core N3060 1.6GHz,4.0,Intel HD Graphics 400,Windows 10,1.44,12201.12,0,0,100.45466986113651,32,0
Lenovo,Notebook,Intel Core i5 7200U 2.5GHz,4.0,Intel HD Graphics 620,Windows 10,1.9,29250.72,0,0,141.21199808219862,0,1000
Asus,Gaming,Intel Core i7 7700HQ 2.8GHz,12.0,Nvidia GeForce GTX 1050 Ti,Linux,3.0,50562.72,0,0,141.21199808219862,0,1000
Microsoft,Ultrabook,Intel Core i5 7200U 2.5GHz,4.0,Intel HD Graphics 620,Windows 10 S,1.252,58021.92,1,0,200.84255993695703,128,0
Dell,Ultrabook,Intel Core i7 8550U 1.8GHz,64.0,AMD Radeon 530,Windows 10,1.4,50882.4,0,1,157.3505121487356,256,0
Dell,Notebook,Intel Core i7 8550U 1.8GHz,8.0,AMD Radeon 530,Windows 10,2.2,46353.6,0,0,141.21199808219862,256,0
MSI,Gaming,Intel Core i5 7300HQ 2.5GHz,8.0,Nvidia GeForce GTX 1050,Windows 10,2.7,58341.6,0,0,141.21199808219862,128,1000
Acer,Notebook,Intel Core i3 6006U 2GHz,8.0,Intel HD Graphics 520,Windows 10,2.1,20725.92,0,0,100.45466986113651,0,1000
Asus,Gaming,Intel Core i7 7700HQ 2.8GHz,8.0,Nvidia GeForce GTX 1050,Windows 10,2.2,50562.72,0,0,141.21199808219862,0,1000
Lenovo,Notebook,Intel Core i5 7200U 2.5GHz,8.0,Intel HD Graphics 620,No OS,2.2,27652.32,0,0,141.21199808219862,0,2000
Dell,Notebook,Intel Core i7 8550U 1.8GHz,8.0,Intel UHD Graphics 620,Windows 10,2.02,45554.4,0,0,141.21199808219862,128,1000
Acer,Notebook,Intel Core i3 7130U 2.7GHz,4.0,Nvidia GeForce MX130,Windows 10,2.2,28238.4,0,0,141.21199808219862,0,1000
HP,Notebook,Intel Core i5 8250U 1.6GHz,8.0,Nvidia GeForce 930MX,Windows 10,2.5,52054.56,0,0,141.21199808219862,128,1000
Dell,Ultrabook,Intel Core i5 8250U 1.6GHz,8.0,Intel UHD Graphics 620,Windows 10,1.88,58403.4048,0,1,157.3505121487356,256,0
Apple,Ultrabook,Intel Core i5 1.3GHz,8.0,Intel HD Graphics 615,macOS,0.92,80452.8,0,1,226.41554716935852,512,0
HP,Notebook,Intel Core i5 8250U 1.6GHz,8.0,Intel HD Graphics 620,Windows 10,1.63,45820.8,0,0,141.21199808219862,256,0
Lenovo,Notebook,AMD A6-Series 9220 2.5GHz,4.0,AMD R4 Graphics,Windows 10,2.2,21258.72,0,0,141.21199808219862,128,0
Acer,Notebook,AMD A9-Series 9420 3GHz,4.0,AMD Radeon R5,Windows 10,2.1,21045.6,0,0,100.45466986113651,0,1000
Dell,Gaming,Intel Core i7 7700HQ 2.8GHz,16.0,Nvidia GeForce GTX 1050 Ti,Windows 10,2.65,71874.72,0,1,157.3505121487356,128,1000
HP,Ultrabook,Intel Core i7 8550U 1.8GHz,8.0,Nvidia GeForce GTX 940MX,Windows 10,1.83,37242.72,0,1,157.3505121487356,256,0
HP,Notebook,Intel Core i5 7200U 2.5GHz,8.0,Intel HD Graphics 620,Windows 10,1.96,31914.1872,0,0,141.21199808219862,256,0
Asus,Gaming,Intel Core i7 7700HQ 2.8GHz,16.0,Nvidia GeForce GTX 1060,Windows 10,2.2,77202.72,0,1,157.3505121487356,128,1000
Dell,Ultrabook,Intel Core i7 8550U 1.8GHz,8.0,Intel UHD Graphics 620,Windows 10,1.21,87858.72,0,1,157.3505121487356,256,0
Asus,Gaming,AMD FX 9830P 3GHz,8.0,AMD Radeon RX 560,Windows 10,2.45,37242.72,0,0,141.21199808219862,0,1000
Acer,Notebook,Intel Core i7 8550U 1.8GHz,2.0,Nvidia GeForce MX150,Windows 10,2.2,36709.92,0,0,141.21199808219862,0,1000
HP,Notebook,Intel Core i7 8550U 1.8GHz,16.0,Intel UHD Graphics 620,Windows 10,1.49,63776.16,0,0,141.21199808219862,512,0
Dell,Gaming,Intel Core i5 7300HQ 2.5GHz,8.0,Nvidia GeForce GTX 1060,Windows 10,2.65,63669.6,0,0,141.21199808219862,256,0
Asus,Ultrabook,Intel Core i7 7500U 2.7GHz,8.0,Intel HD Graphics 620,Windows 10,1.25,55890.72,0,0,141.21199808219862,256,0
Acer,2 in 1 Convertible,Intel Core i5 8250U 1.6GHz,8.0,Intel UHD Graphics 620,Windows 10,1.5,45128.16,1,1,165.6321180513006,256,0
Dell,Notebook,Intel Core i7 7500U 2.7GHz,8.0,AMD Radeon R5 M430,Linux,2.2,31962.672,0,0,141.21199808219862,0,1000
Dell,Notebook,Intel Core i3 6006U 2GHz,4.0,AMD Radeon R5 M430,Linux,2.2,25840.8,0,0,141.21199808219862,256,0
Asus,Notebook,Intel Core i3 7100U 2.4GHz,6.0,Nvidia GeForce 920M,Windows 10,2.0,30742.56,0,0,141.21199808219862,256,0
HP,Gaming,Intel Core i7 7700HQ 2.8GHz,12.0,Nvidia GeForce GTX 1050,Windows 10,2.62,66546.72,0,1,157.3505121487356,128,1000
HP,Notebook,Intel Core i7 7500U 2.7GHz,8.0,AMD Radeon 530,Windows 10,1.91,38308.32,0,0,141.21199808219862,256,0
HP,Notebook,AMD E-Series E2-9000e 1.5GHz,4.0,AMD Radeon R2,Windows 10,2.1,18594.72,0,0,141.21199808219862,0,500
Dell,Notebook,Intel Core i5 8250U 1.6GHz,8.0,AMD Radeon 520,Linux,2.2,34472.16,0,0,141.21199808219862,0,1000
HP,Ultrabook,Intel Core i7 7500U 2.7GHz,8.0,Nvidia GeForce MX150,Windows 10,1.38,59620.32,0,1,157.3505121487356,256,0
Microsoft,Ultrabook,Intel Core i5 7200U 2.5GHz,8.0,Intel HD Graphics 620,Windows 10 S,1.252,71395.2,1,0,200.84255993695703,256,0
HP,Notebook,Intel Core i5 7200U 2.5GHz,6.0,Nvidia GeForce 940MX,Windows 10,1.58,35111.52,0,1,157.3505121487356,256,0
Lenovo,Notebook,Intel Core i3 6006U 2GHz,4.0,Intel HD Graphics 520,Windows 10,1.85,22105.872,0,0,141.21199808219862,0,1000
Asus,Ultrabook,Intel Core i7 7500U 2.7GHz,8.0,Nvidia GeForce 940MX,Windows 10,1.3,63563.04,0,1,157.3505121487356,256,0
MSI,Gaming,Intel Core i7 7700HQ 2.8GHz,16.0,Nvidia GeForce GTX 1050 Ti,Windows 10,2.2,69210.72,0,0,141.21199808219862,256,1000
Lenovo,Notebook,Intel Core i7 7500U 2.7GHz,8.0,Intel HD Graphics 620,Windows 10,1.58,78854.4,0,1,157.3505121487356,256,0
Asus,Ultrabook,Intel Core i7 8550U 1.8GHz,16.0,Nvidia GeForce MX150,Windows 10,1.5,67239.36,0,0,141.21199808219862,256,1000
Dell,Ultrabook,Intel Core i7 7560U 2.4GHz,8.0,Intel Iris Plus Graphics 640,Windows 10,1.23,73473.12,1,0,276.053530085501,256,0
Lenovo,2 in 1 Convertible,Intel Core i5 7200U 2.5GHz,8.0,Intel HD Graphics 620,Windows 10,1.37,74538.72,1,1,165.6321180513006,256,0
HP,Notebook,Intel Core i5 8250U 1.6GHz,4.0,Intel UHD Graphics 620,Windows 10,1.63,38468.16,0,1,111.93520355955211,0,500
Dell,Ultrabook,Intel Core i5 8250U 1.6GHz,8.0,Intel UHD Graphics 620,Windows 10,1.21,86793.12,0,1,157.3505121487356,256,0
HP,Notebook,Intel Core i7 8550U 1.8GHz,8.0,Intel UHD Graphics 620,Windows 10,1.63,57755.52,0,0,141.21199808219862,512,0
Dell,Notebook,Intel Core i7 8550U 1.8GHz,8.0,Nvidia GeForce 940MX,Windows 10,2.16,60223.9824,0,1,157.3505121487356,256,1000
Asus,Notebook,Intel Core i3 6006U 2GHz,4.0,Nvidia GeForce 920MX,Windows 10,2.0,30049.92,0,0,141.21199808219862,0,1000
Asus,Notebook,Intel Core i7 8550U 1.8GHz,8.0,Nvidia GeForce 940MX,Windows 10,1.7,59567.04,0,0,141.21199808219862,256,0
Acer,Notebook,Intel Core i3 7100U 2.4GHz,6.0,Intel HD Graphics 620,Windows 10,2.1,25521.12,1,1,165.6321180513006,0,1000
MSI,Gaming,Intel Core i7 7700HQ 2.8GHz,16.0,Nvidia GeForce GTX 1070,Windows 10,1.8,119427.12,0,0,141.21199808219862,256,2000
Lenovo,Notebook,Intel Core i5 7200U 2.5GHz,8.0,Nvidia GeForce 940MX,No OS,2.2,33513.12,0,0,141.21199808219862,256,0
HP,Notebook,Intel Core i7 8550U 1.8GHz,16.0,Nvidia GeForce 930MX ,Windows 10,2.5,67718.88,0,0,141.21199808219862,512,0
Acer,Notebook,AMD A9-Series 9420 3GHz,4.0,AMD Radeon R5,Windows 10,2.1,24029.28,0,0,100.45466986113651,256,0
HP,Notebook,Intel Core i5 8250U 1.6GHz,8.0,Intel UHD Graphics 620,Windows 10,1.63,43263.36,0,0,141.21199808219862,0,1000
Asus,Notebook,AMD E-Series 6110 1.5GHz,4.0,AMD Radeon R2,Windows 10 S,1.65,14811.3072,0,0,100.45466986113651,64,0
Dell,Notebook,Intel Core i7 8550U 1.8GHz,16.0,AMD Radeon 530,Windows 10,2.8,74378.88,0,0,141.21199808219862,256,2000
HP,Notebook,Intel Core i5 8250U 1.6GHz,8.0,Intel UHD Graphics 620,Windows 10,2.5,49443.84,0,0,141.21199808219862,256,0
Dell,Notebook,Intel Core i5 7200U 2.5GHz,8.0,AMD Radeon R7 M445,Windows 10,2.36,34045.3872,0,0,100.45466986113651,0,1000
Dell,Notebook,Intel Core i3 6006U 2GHz,4.0,AMD Radeon R5 M430,Windows 10,2.2,23922.72,0,0,141.21199808219862,0,1000
Acer,Ultrabook,Intel Core i7 8550U 1.8GHz,8.0,Intel UHD Graphics 620,Windows 10,1.6,47099.52,0,1,157.3505121487356,256,0
Acer,Notebook,Intel Core i3 7130U 2.7GHz,4.0,Nvidia GeForce MX130,Windows 10,7.2,30476.16,0,0,141.21199808219862,256,0
HP,Notebook,Intel Core i7 7500U 2.7GHz,8.0,Intel HD Graphics 620,Windows 10,2.05,31861.44,0,0,100.45466986113651,0,1000
HP,Notebook,Intel Core i7 8550U 1.8GHz,8.0,Intel UHD Graphics 620,Windows 10,1.63,52640.64,0,0,141.21199808219862,256,0
Lenovo,Notebook,Intel Celeron Dual Core N3350 1.1GHz,4.0,Intel HD Graphics 500,No OS,1.9,13445.7408,0,0,100.45466986113651,0,1000
Asus,Gaming,Intel Core i5 7300HQ 2.5GHz,8.0,Nvidia GeForce GTX 1050,Windows 10,3.0,49976.64,0,0,141.21199808219862,128,1000
Lenovo,Notebook,Intel Core i5 7200U 2.5GHz,4.0,Nvidia GeForce 920MX,No OS,2.2,26586.72,0,0,141.21199808219862,0,1000
HP,Notebook,Intel Core i5 7200U 2.5GHz,4.0,Intel HD Graphics 620,Windows 10,1.32,37242.72,0,1,157.3505121487356,256,0
Acer,Notebook,Intel Core i3 7130U 2.7GHz,4.0,Nvidia GeForce MX130,Windows 10,3.0,34898.4,0,1,157.3505121487356,0,1000
Lenovo,Notebook,Intel Core i5 8250U 1.6GHz,8.0,AMD Radeon RX 550,Windows 10,1.75,59461.5456,0,1,157.3505121487356,256,0
Lenovo,Gaming,Intel Core i7 7700HQ 2.8GHz,8.0,Nvidia GeForce GTX 1050M,No OS,2.4,46300.32,0,1,157.3505121487356,256,0
Toshiba,Notebook,Intel Core i5 6200U 2.3GHz,4.0,Intel HD Graphics 520,Windows 10,2.1,32074.56,0,0,100.45466986113651,0,500
HP,Notebook,AMD A6-Series 9220 2.5GHz,4.0,AMD Radeon R4 Graphics,Windows 10,1.86,19660.32,0,0,100.45466986113651,256,0
Asus,Ultrabook,Intel Core i7 8550U 1.8GHz,8.0,Intel UHD Graphics 620,Windows 10,1.25,58554.72,0,0,141.21199808219862,256,0
HP,Ultrabook,Intel Core M 6Y75 1.2GHz,8.0,Intel HD Graphics 515,Windows 10,0.97,107305.92,1,1,352.4651472131677,512,0
Asus,Notebook,Intel Celeron Dual Core N3350 1.1GHz,4.0,Intel HD Graphics 500,Windows 10,2.0,18328.32,0,0,141.21199808219862,0,1000
Acer,Notebook,Intel Core i3 6006U 2GHz,4.0,Intel HD Graphics 520,Windows 10,2.1,23816.16,0,0,100.45466986113651,0,1000
Dell,Gaming,Intel Core i7 7700HQ 2.8GHz,16.0,Nvidia GeForce GTX 1050,Windows 10,2.56,66560.5728,0,0,141.21199808219862,512,0
Dell,Gaming,Intel Core i7 7700HQ 2.8GHz,8.0,Nvidia GeForce GTX 1050,Windows 10,2.62,47898.72,0,0,141.21199808219862,0,0
Lenovo,Notebook,Intel Core i5 7200U 2.5GHz,4.0,Intel HD Graphics 620,Windows 10,1.9,26533.44,0,0,100.45466986113651,128,0
MSI,Gaming,Intel Core i7 7700HQ 2.8GHz,16.0,Nvidia GeForce GTX 1060,Windows 10,2.8,100699.2,0,0,141.21199808219862,256,1000
HP,Ultrabook,Intel Core i5 7500U 2.7GHz,4.0,Intel HD Graphics 620,Windows 10,1.48,57648.96,0,0,141.21199808219862,256,0
HP,Notebook,Intel Core i5 8250U 1.6GHz,6.0,AMD Radeon 520,Windows 10,1.91,32980.32,0,0,141.21199808219862,256,0
Lenovo,2 in 1 Convertible,Intel Core i3 7100U 2.4GHz,4.0,Intel HD Graphics 620,Windows 10,1.74,33513.12,1,1,165.6321180513006,256,0
Asus,2 in 1 Convertible,Intel Core i5 8250U 1.6GHz,8.0,Intel HD Graphics 620,Windows 10,1.1,70063.2,1,0,165.6321180513006,256,0
Dell,2 in 1 Convertible,Intel Core i7 8550U 1.8GHz,8.0,Intel UHD Graphics 620,Windows 10,1.56,55890.72,1,0,165.6321180513006,256,0
Toshiba,Notebook,Intel Core i3 6006U 2.2GHz,4.0,Intel HD Graphics 520,Windows 10,2.1,23816.16,0,0,100.45466986113651,0,500
Asus,Notebook,AMD A9-Series 9420 3GHz,4.0,AMD Radeon R5 M420,Windows 10,2.03,21471.84,0,0,100.45466986113651,0,1000
