iter	Passed	Remaining
0	21	43175
1	41	41001
2	56	37377
3	70	35004
4	84	33695
5	110	36642
6	128	36497
7	150	37380
8	171	37863
9	193	38492
10	212	38392
11	231	38350
12	245	37536
13	259	36797
14	274	36262
15	287	35593
16	299	34943
17	312	34408
18	325	33959
19	338	33513
20	351	33117
21	364	32771
22	377	32446
23	391	32215
24	405	32007
25	419	31827
26	432	31597
27	445	31398
28	459	31236
29	472	31045
30	486	30870
31	501	30817
32	515	30741
33	531	30709
34	546	30683
35	562	30679
36	580	30786
37	597	30865
38	613	30849
39	629	30846
40	645	30857
41	662	30875
42	676	30769
43	694	30860
44	710	30858
45	726	30852
46	741	30823
47	764	31106
48	778	31012
49	793	30935
50	806	30827
51	820	30732
52	835	30691
53	848	30575
54	861	30475
55	874	30366
56	888	30277
57	902	30221
58	915	30129
59	928	30026
60	941	29941
61	955	29860
62	968	29773
63	983	29754
64	997	29698
65	1011	29639
66	1024	29569
67	1038	29497
68	1052	29445
69	1065	29368
70	1078	29298
71	1093	29271
72	1106	29201
73	1122	29202
74	1135	29144
75	1149	29091
76	1162	29027
77	1175	28966
78	1189	28915
79	1202	28862
80	1216	28828
81	1229	28767
82	1243	28717
83	1259	28718
84	1272	28676
85	1287	28661
86	1301	28612
87	1315	28572
88	1328	28530
89	1343	28505
90	1356	28459
91	1370	28414
92	1383	28365
93	1399	28375
94	1412	28333
95	1425	28278
96	1438	28224
97	1453	28202
98	1466	28158
99	1478	28100
100	1492	28066
101	1506	28024
102	1519	27982
103	1533	27953
104	1543	27857
105	1556	27813
106	1570	27776
107	1584	27752
108	1598	27726
109	1611	27690
110	1625	27655
111	1638	27615
112	1646	27501
113	1660	27474
114	1674	27442
115	1689	27436
116	1702	27404
117	1716	27376
118	1729	27344
119	1743	27319
120	1757	27297
121	1771	27267
122	1784	27228
123	1797	27195
124	1810	27154
125	1824	27142
126	1839	27128
127	1848	27029
128	1862	27006
129	1875	26977
130	1888	26944
131	1902	26924
132	1916	26904
133	1930	26877
134	1943	26853
135	1958	26840
136	1974	26843
137	1988	26823
138	2001	26801
139	2015	26771
140	2028	26748
141	2042	26721
142	2055	26695
143	2069	26675
144	2082	26647
145	2096	26623
146	2112	26627
147	2125	26599
148	2138	26571
149	2152	26544
150	2166	26526
151	2179	26503
152	2192	26473
153	2207	26461
154	2220	26435
155	2235	26426
156	2248	26394
157	2262	26375
158	2275	26347
159	2288	26317
160	2301	26290
161	2315	26273
162	2330	26268
163	2344	26246
164	2357	26221
165	2371	26205
166	2386	26188
167	2401	26184
168	2414	26160
169	2428	26138
170	2441	26114
171	2455	26092
172	2467	26058
173	2481	26045
174	2496	26032
175	2510	26016
176	2524	26000
177	2543	26035
178	2557	26014
179	2570	25991
180	2583	25961
181	2598	25956
182	2612	25937
183	2626	25918
184	2640	25903
185	2656	25910
186	2670	25887
187	2686	25888
188	2699	25870
189	2713	25845
190	2726	25826
191	2752	25918
192	2778	26012
193	2799	26057
194	2814	26051
195	2828	26031
196	2842	26011
197	2856	25993
198	2869	25974
199	2883	25954
200	2897	25929
201	2910	25907
202	2960	26204
203	2990	26327
204	3019	26440
205	3058	26638
206	3080	26680
207	3102	26725
208	3115	26696
209	3127	26662
210	3142	26644
211	3155	26617
212	3170	26596
213	3183	26570
214	3197	26543
215	3210	26516
216	3223	26490
217	3237	26460
218	3250	26437
219	3263	26408
220	3279	26399
221	3293	26374
222	3306	26348
223	3320	26324
224	3335	26309
225	3348	26282
226	3361	26255
227	3375	26232
228	3388	26208
229	3402	26183
230	3416	26160
231	3431	26150
232	3445	26126
233	3458	26103
234	3472	26080
235	3486	26056
236	3500	26036
237	3513	26014
238	3528	25996
239	3541	25970
240	3554	25944
241	3569	25932
242	3584	25920
243	3598	25897
244	3612	25879
245	3626	25855
246	3640	25834
247	3653	25810
248	3667	25790
249	3680	25766
250	3693	25738
251	3708	25721
252	3721	25694
253	3735	25674
254	3748	25650
255	3762	25634
256	3776	25610
257	3789	25587
258	3802	25561
259	3817	25545
260	3831	25528
261	3846	25517
262	3861	25501
263	3874	25480
264	3888	25461
265	3902	25440
266	3916	25418
267	3930	25401
268	3943	25376
269	3956	25353
270	3970	25332
271	3986	25328
272	4000	25307
273	4013	25283
274	4026	25258
275	4061	25372
276	4084	25404
277	4100	25398
278	4114	25378
279	4127	25354
280	4143	25345
281	4156	25320
282	4170	25302
283	4183	25279
284	4197	25256
285	4210	25236
286	4224	25215
287	4240	25208
288	4255	25193
289	4269	25177
290	4283	25154
291	4296	25132
292	4310	25110
293	4323	25086
294	4336	25062
295	4350	25042
296	4363	25019
297	4379	25011
298	4392	24988
299	4405	24964
300	4418	24942
301	4432	24921
302	4445	24899
303	4459	24878
304	4472	24854
305	4486	24836
306	4501	24821
307	4514	24798
308	4529	24786
309	4543	24767
310	4555	24738
311	4569	24719
312	4582	24698
313	4595	24677
314	4609	24657
315	4622	24635
316	4635	24613
317	4649	24591
318	4664	24579
319	4677	24556
320	4691	24536
321	4704	24514
322	4718	24500
323	4732	24478
324	4746	24463
325	4761	24447
326	4774	24427
327	4787	24407
328	4804	24401
329	4818	24383
330	4832	24364
331	4846	24348
332	4859	24328
333	4874	24314
334	4888	24296
335	4902	24278
336	4915	24258
337	4929	24237
338	4941	24213
339	4957	24205
340	4971	24185
341	4984	24166
342	4997	24143
343	5012	24127
344	5024	24105
345	5038	24087
346	5051	24065
347	5065	24047
348	5079	24027
349	5095	24023
350	5109	24003
351	5122	23984
352	5136	23967
353	5151	23951
354	5164	23932
355	5178	23913
356	5192	23896
357	5206	23880
358	5220	23861
359	5236	23855
360	5250	23840
361	5263	23818
362	5277	23799
363	5291	23780
364	5304	23760
365	5317	23740
366	5331	23724
367	5345	23706
368	5358	23687
369	5372	23668
370	5385	23647
371	5398	23627
372	5412	23608
373	5426	23591
374	5439	23571
375	5452	23551
376	5466	23532
377	5479	23512
378	5495	23504
379	5509	23486
380	5522	23467
381	5535	23445
382	5549	23430
383	5563	23412
384	5576	23394
385	5590	23376
386	5604	23359
387	5618	23342
388	5634	23334
389	5647	23316
390	5661	23298
391	5675	23279
392	5687	23258
393	5701	23240
394	5715	23221
395	5728	23204
396	5741	23183
397	5755	23165
398	5768	23144
399	5782	23129
400	5795	23107
401	5808	23088
402	5821	23069
403	5836	23058
404	5849	23038
405	5863	23019
406	5877	23002
407	5891	22986
408	5905	22970
409	5920	22960
410	5934	22942
411	5948	22928
412	5962	22911
413	5976	22894
414	5991	22882
415	6004	22863
416	6018	22845
417	6031	22827
418	6045	22809
419	6058	22790
420	6072	22777
421	6085	22757
422	6099	22739
423	6112	22721
424	6126	22704
425	6139	22684
426	6152	22666
427	6166	22647
428	6179	22629
429	6193	22611
430	6208	22602
431	6222	22585
432	6235	22567
433	6248	22547
434	6262	22529
435	6275	22511
436	6288	22492
437	6301	22474
438	6315	22455
439	6328	22437
440	6344	22427
441	6357	22408
442	6370	22389
443	6384	22374
444	6397	22354
445	6410	22336
446	6423	22318
447	6437	22302
448	6451	22286
449	6465	22269
450	6477	22248
451	6492	22236
452	6506	22221
453	6520	22203
454	6533	22185
455	6546	22165
456	6560	22149
457	6573	22131
458	6586	22113
459	6600	22098
460	6613	22078
461	6627	22063
462	6641	22046
463	6675	22099
464	6696	22107
465	6711	22092
466	6727	22082
467	6740	22064
468	6753	22046
469	6767	22030
470	6780	22012
471	6794	21994
472	6807	21977
473	6821	21960
474	6834	21943
475	6848	21927
476	6863	21914
477	6876	21895
478	6889	21878
479	6904	21863
480	6917	21845
481	6931	21829
482	6945	21813
483	6958	21796
484	6971	21778
485	6985	21760
486	6998	21743
487	7015	21735
488	7028	21717
489	7041	21700
490	7055	21682
491	7068	21665
492	7082	21648
493	7095	21631
494	7109	21616
495	7123	21600
496	7137	21584
497	7153	21574
498	7166	21556
499	7179	21539
500	7193	21524
501	7207	21506
502	7220	21488
503	7233	21470
504	7246	21452
505	7259	21435
506	7273	21417
507	7285	21398
508	7300	21384
509	7313	21367
510	7327	21351
511	7340	21334
512	7353	21316
513	7367	21300
514	7381	21283
515	7394	21266
516	7407	21248
517	7420	21231
518	7437	21224
519	7451	21208
520	7465	21191
521	7479	21176
522	7492	21158
523	7506	21142
524	7520	21127
525	7533	21109
526	7546	21092
527	7559	21076
528	7573	21058
529	7587	21045
530	7601	21028
531	7614	21011
532	7627	20994
533	7641	20978
534	7654	20959
535	7667	20942
536	7681	20926
537	7695	20912
538	7708	20894
539	7723	20882
540	7736	20865
541	7750	20849
542	7765	20837
543	7779	20821
544	7792	20804
545	7805	20786
546	7819	20770
547	7833	20755
548	7846	20739
549	7862	20729
550	7876	20714
551	7890	20698
552	7903	20681
553	7918	20668
554	7932	20652
555	7946	20636
556	7959	20619
557	7972	20602
558	7985	20584
559	7998	20566
560	8011	20551
561	8025	20535
562	8038	20518
563	8052	20502
564	8065	20486
565	8079	20469
566	8092	20452
567	8105	20433
568	8118	20417
569	8131	20400
570	8147	20390
571	8160	20373
572	8174	20357
573	8188	20343
574	8202	20327
575	8215	20311
576	8228	20294
577	8241	20277
578	8255	20260
579	8269	20245
580	8284	20234
581	8298	20218
582	8311	20202
583	8325	20187
584	8339	20171
585	8352	20154
586	8365	20137
587	8379	20121
588	8392	20104
589	8406	20088
590	8419	20073
591	8433	20057
592	8446	20041
593	8460	20026
594	8474	20011
595	8488	19997
596	8503	19982
597	8515	19965
598	8529	19950
599	8543	19933
600	8554	19914
601	8568	19899
602	8582	19884
603	8641	19972
604	8670	19991
605	8711	20039
606	8762	20109
607	8790	20125
608	8824	20154
609	8871	20216
610	8908	20252
611	8947	20292
612	8991	20344
