Company Name,Company Rating,Company Review,Sector,Salary,About Company,Links
TCS,3.6,(96.7k),IT Services & Consulting | Bangalore / Bengaluru +413 other locations,9.1L,IT Services & Consulting | Bangalore / Bengaluru +413 other locations,https://www.ambitionbox.com/overview/TCS-overview
Accenture,3.8,(62.2k),IT Services & Consulting | Bangalore / Bengaluru +227 other locations,6L,IT Services & Consulting | Bangalore / Bengaluru +227 other locations,https://www.ambitionbox.com/overview/Accenture-overview
Wipro,3.7,(56.6k),IT Services & Consulting | Bangalore / Bengaluru +357 other locations,4.6L,IT Services & Consulting | Bangalore / Bengaluru +357 other locations,https://www.ambitionbox.com/overview/Wipro-overview
Cognizant,3.7,(53.8k),IT Services & Consulting | Hyderabad / Secunderabad +212 other locations,5.8L,IT Services & Consulting | Hyderabad / Secunderabad +212 other locations,https://www.ambitionbox.com/overview/Cognizant-overview
Capgemini,3.7,(45.5k),IT Services & Consulting | Bangalore / Bengaluru +171 other locations,4.5L,IT Services & Consulting | Bangalore / Bengaluru +171 other locations,https://www.ambitionbox.com/overview/Capgemini-overview
HDFC Bank,3.9,(42.8k),Banking | Mumbai +1693 other locations,1.4L,Banking | Mumbai +1693 other locations,https://www.ambitionbox.com/overview/HDFC Bank-overview
Infosys,3.6,(42.3k),IT Services & Consulting | Bangalore / Bengaluru +227 other locations,4.9L,IT Services & Consulting | Bangalore / Bengaluru +227 other locations,https://www.ambitionbox.com/overview/Infosys-overview
ICICI Bank,4.0,(41.4k),Banking | Mumbai +1391 other locations,1.5L,Banking | Mumbai +1391 other locations,https://www.ambitionbox.com/overview/ICICI Bank-overview
HCLTech,3.5,(39k),IT Services & Consulting | Chennai +216 other locations,3.5L,IT Services & Consulting | Chennai +216 other locations,https://www.ambitionbox.com/overview/HCLTech-overview
Tech Mahindra,3.5,(37.7k),IT Services & Consulting | Hyderabad / Secunderabad +318 other locations,2.7L,IT Services & Consulting | Hyderabad / Secunderabad +318 other locations,https://www.ambitionbox.com/overview/Tech Mahindra-overview
